врем€;Q,г¬т/м2;D,г¬т/м2
11:34:00;858,998;166,964
11:35:00;882,068;166,42
11:36:00;875,893;166,769
11:37:00;866,987;167,006
11:38:00;811,05;166,922
11:39:00;776,828;166,294
11:40:00;766,931;165,512
11:41:00;860,565;166,769
11:42:00;859,249;166,113
11:43:00;791,069;164,898
11:44:00;811,035;164,088
11:45:00;841,531;162,538
11:46:00;860,239;160,877
11:47:00;880,425;158,139
11:48:00;881,307;155,64
11:49:00;890,464;153,922
11:50:00;848,092;152,079
11:51:00;839,717;150,502
11:52:00;847,425;149,915
11:53:00;850,864;149,133
11:54:00;871,36;146,564
11:55:00;881,302;143,897
11:56:00;877,549;140,197
11:57:00;873,52;137,488
11:58:00;886,773;135,086
11:59:00;891,092;132,866
12:00:00;896,614;131,149
12:01:00;885,529;129,655
12:02:00;873,706;129,054
12:03:00;863,029;127,505
12:04:00;877,75;124,433
12:05:00;885,676;121,5
12:06:00;883,143;119,266
12:07:00;882,036;117,562
12:08:00;882,291;116,501
12:09:00;883,227;115,886
12:10:00;885,918;115,537
12:11:00;872,4;114,909
12:12:00;857,116;114,573
12:13:00;863,5;113,526
12:14:00;881,636;111,655
12:15:00;885,199;109,924
12:16:00;888,624;108,527
12:17:00;901,232;107,745
12:18:00;905,559;107,201
12:19:00;894,955;106,377
12:20:00;909,728;104,981
12:21:00;908,732;103,654
12:22:00;907,191;102,44
12:23:00;904,441;100,792
12:24:00;905,835;98,823
12:25:00;902,711;96,91
12:26:00;898,33;95,542
12:27:00;897,098;93,699
12:28:00;898,556;91,744
12:29:00;899,298;90,557
12:30:00;900,233;89,747
12:31:00;896,438;89,523
12:32:00;893,491;89,286
12:33:00;889,531;88,965
12:34:00;887,72;88,225
12:35:00;887,433;87,513
12:36:00;888,649;87,443
12:37:00;885,089;88,015
12:38:00;881,998;88,253
12:39:00;869,793;88,225
12:40:00;880,723;88,016
12:41:00;873,194;87,653
12:42:00;867,921;86,801
12:43:00;874,486;85,53
12:44:00;877,34;84,916
12:45:00;877,481;84,469
12:46:00;876,656;83,966
12:47:00;875,179;83,296
12:48:00;875,375;82,946
12:49:00;874,796;82,946
12:50:00;873,274;83,072
12:51:00;869,019;82,918
12:52:00;873,081;82,164
12:53:00;872,638;81,773
12:54:00;872,275;81,396
